1,2010,73.2
2,2010,65.7
4,2010,66.6
5,2010,67.9
6,2010,56.1
8,2010,68.5
9,2010,70.8
10,2010,74.7
11,2010,45.6
12,2010,69.3
13,2010,67.1
15,2010,56.1
16,2010,72.4
17,2010,68.8
18,2010,71.2
19,2010,71.1
20,2010,67.4
21,2010,70.3
22,2010,70.4
23,2010,73.8
24,2010,68.9
25,2010,65.3
26,2010,74.5
27,2010,72.6
28,2010,74.8
29,2010,71.2
30,2010,68.1
31,2010,70.4
32,2010,59.7
33,2010,74.9
34,2010,66.5
35,2010,68.6
36,2010,54.5
37,2010,69.5
38,2010,67.1
39,2010,69.7
40,2010,69.2
41,2010,66.3
42,2010,72.2
44,2010,62.8
45,2010,74.8
46,2010,70.6
47,2010,71
48,2010,65.3
49,2010,72.5
50,2010,73.6
51,2010,68.7
53,2010,64.4
54,2010,79
55,2010,71
56,2010,73.4
1,2011,72.9
2,2011,64.4
4,2011,66
5,2011,67.6
6,2011,55.3
8,2011,65.9
9,2011,70.6
10,2011,74.2
11,2011,44.8
12,2011,69
13,2011,66.2
15,2011,55.4
16,2011,72.4
17,2011,68.4
18,2011,72.1
19,2011,71.2
20,2011,65.4
21,2011,69.1
22,2011,70.1
23,2011,73.9
24,2011,69.7
25,2011,65.3
26,2011,74.1
27,2011,71.3
28,2011,74.8
29,2011,71.1
30,2011,68.4
31,2011,68.9
32,2011,56.2
33,2011,74.1
34,2011,66.4
35,2011,69.1
36,2011,53.6
37,2011,68.3
38,2011,68.3
39,2011,68.9
40,2011,69.4
41,2011,66.4
42,2011,71.1
44,2011,63.4
45,2011,74.2
46,2011,69.3
47,2011,69.3
48,2011,64.3
49,2011,71.4
50,2011,74.6
51,2011,67.9
53,2011,64.2
54,2011,78.7
55,2011,68.5
56,2011,71.1
1,2012,71.9
2,2012,63.7
4,2012,65.3
5,2012,66
6,2012,54.5
8,2012,65.3
9,2012,68.8
10,2012,73.4
11,2012,45
12,2012,67
13,2012,64.3
15,2012,57.2
16,2012,73
17,2012,66.8
18,2012,72.1
19,2012,70.2
20,2012,63.2
21,2012,68.7
22,2012,68.7
23,2012,74.1
24,2012,68.5
25,2012,65.8
26,2012,74.8
27,2012,72
28,2012,74.2
29,2012,70.8
30,2012,67.8
31,2012,69.3
32,2012,55.7
33,2012,74.8
34,2012,66.6
35,2012,66.8
36,2012,53.6
37,2012,67.2
38,2012,66.2
39,2012,67.9
40,2012,68.8
41,2012,66.1
42,2012,71
44,2012,62.1
45,2012,71.5
46,2012,69.2
47,2012,67.9
48,2012,64.3
49,2012,71.1
50,2012,73.4
51,2012,67.8
53,2012,63.5
54,2012,75.8
55,2012,67.5
56,2012,70.3
1,2013,72.7
2,2013,64.6
4,2013,65.1
5,2013,65.4
6,2013,54.3
8,2013,64.4
9,2013,68.5
10,2013,74.1
11,2013,44.6
12,2013,66.1
13,2013,64.2
15,2013,57.3
16,2013,71.5
17,2013,67.2
18,2013,71.7
19,2013,69.8
20,2013,63.5
21,2013,67.5
22,2013,67.8
23,2013,73.5
24,2013,66.9
25,2013,65.3
26,2013,73.9
27,2013,73.4
28,2013,74.2
29,2013,71.3
30,2013,67.4
31,2013,68.2
32,2013,56
33,2013,74.1
34,2013,64.9
35,2013,67.3
36,2013,53
37,2013,67.3
38,2013,68
39,2013,67.9
40,2013,69.9
41,2013,64.2
42,2013,71.5
44,2013,61.5
45,2013,72.4
46,2013,67.8
47,2013,66.8
48,2013,63.3
49,2013,70.9
50,2013,73
51,2013,68.1
53,2013,62.7
54,2013,76.8
55,2013,68.5
56,2013,70.5
1,2014,72.1
2,2014,64.9
4,2014,63.5
5,2014,65.4
6,2014,54.2
8,2014,65
9,2014,67.4
10,2014,74.3
11,2014,41.5
12,2014,64.9
13,2014,62.9
15,2014,58.4
16,2014,69.6
17,2014,66.4
18,2014,70.1
19,2014,69.4
20,2014,64.7
21,2014,67.6
22,2014,65.3
23,2014,71
24,2014,66.2
25,2014,63
26,2014,73.8
27,2014,71.4
28,2014,73.2
29,2014,70.5
30,2014,66.9
31,2014,66.7
32,2014,56
33,2014,72.2
34,2014,65.2
35,2014,66.3
36,2014,52.9
37,2014,66.4
38,2014,64.5
39,2014,67.3
40,2014,69.3
41,2014,62.8
42,2014,69.7
44,2014,61.8
45,2014,72.9
46,2014,69.2
47,2014,66.7
48,2014,62.2
49,2014,70.9
50,2014,73.5
51,2014,68.7
53,2014,63.6
54,2014,75.6
55,2014,67.8
56,2014,70.8