1,2010,3365577,1261513,55744,32877,70111
2,2010,486001,24707,39339,106561,57248
4,2010,5432343,282539,190128,336639,170350
5,2010,2346369,455307,37942,26283,56396
6,2010,27678431,2487143,5066966,623455,1480016
8,2010,4465375,216391,146221,78557,142031
9,2010,2952499,393429,142020,16848,74549
10,2010,646452,197020,29582,5919,20758
11,2010,253618,311016,21977,3286,15313
12,2010,14837455,3093040,478098,89459,354168
13,2010,6154388,3005881,327016,48735,178444
15,2010,349938,22955,532051,5176,453830
16,2010,1478688,10973,20135,25909,34934
17,2010,10033989,1903403,608647,74102,219956
18,2010,5641461,605253,107023,24520,112051
19,2010,2841250,92478,55141,13704,47722
20,2010,2504736,174075,70367,33138,76633
21,2010,3871465,344652,50829,12154,70738
22,2010,2908726,1467614,72590,33187,63464
23,2010,1268440,16461,13839,8756,19865
24,2010,3545853,1737004,329815,30983,144446
25,2010,5532836,507471,363461,30020,130285
26,2010,7941161,1414785,244440,68519,207593
27,2010,4625175,282530,219702,67738,115273
28,2010,1790243,1105148,26749,16856,31815
29,2010,5042624,701137,101159,30764,120401
30,2010,892158,4282,6486,63725,23924
31,2010,1651246,86378,33810,23697,34734
32,2010,2106555,231918,204984,43050,116986
33,2010,1247895,16514,29121,3531,19456
34,2010,6548323,1284201,752157,50041,168858
35,2010,1725115,49337,31511,209464,49523
36,2010,13904985,3384005,1491312,183398,437167
37,2010,6912492,2093581,218501,147830,187084
38,2010,610225,8513,7141,37098,11368
39,2010,9662986,1428375,198647,29793,220269
40,2010,2854993,285430,67780,337208,214070
41,2010,3406631,74589,146292,67039,142532
42,2010,10663509,1435169,361457,40090,210852
44,2010,910114,75267,32028,9248,26421
45,2010,3171157,1305181,61937,24693,73322
46,2010,707980,10766,7889,72979,16578
47,2010,5062304,1070539,94789,26347,102649
48,2010,20459447,3083850,1012105,251975,438340
49,2010,2556145,34106,58382,40851,84862
50,2010,598445,6511,8121,2319,10396
51,2010,5738442,1583342,453849,41823,207920
53,2010,5543977,253949,495746,123339,324900
54,2010,1747111,64105,12776,3989,26195
55,2010,5036618,367686,132747,60374,91843
56,2010,529639,5190,4673,14467,10389
1,2011,3370438,1267761,57773,32926,72797
2,2011,489666,25691,40802,107831,58582
4,2011,5467563,290094,197208,341604,176398
5,2011,2355846,457380,39773,26796,58635
6,2011,27875583,2498258,5183379,626758,1517923
8,2011,4520632,220865,151198,79982,146984
9,2011,2950099,398803,147703,17207,76725
10,2011,649510,199806,30961,5955,21597
11,2011,263738,314077,23073,3387,16152
12,2011,14979038,3169870,496931,92051,370010
13,2011,6183946,3052436,341302,49258,186259
15,2011,356485,26813,531363,5541,458049
16,2011,1488688,11652,20823,26565,36052
17,2011,10033042,1899955,626647,73777,225304
18,2011,5651054,611412,113037,24875,116182
19,2011,2847170,95335,58577,14151,49671
20,2011,2509578,175863,72861,33433,78230
21,2011,3881073,349677,53474,12247,73567
22,2011,2920120,1480079,75498,33704,66571
23,2011,1267120,17253,14332,8845,20380
24,2011,3563474,1756710,342656,31466,149527
25,2011,5544975,521117,378650,30579,136949
26,2011,7927010,1414205,253065,69058,212398
27,2011,4638848,291847,228965,69345,119031
28,2011,1790783,1109641,27735,16999,33306
29,2011,5046942,703712,104540,31265,124085
30,2011,896348,5142,6932,64674,24565
31,2011,1658660,87883,35373,24348,35968
32,2011,2108716,235473,210717,43589,120091
33,2011,1246858,17222,30395,3575,20059
34,2011,6547271,1292663,776641,50613,175426
35,2011,1732269,50382,32512,212330,50914
36,2011,13934157,3411767,1538343,184765,452713
37,2011,6958268,2118572,230524,149596,194542
38,2011,618074,9593,7592,37988,11995
39,2011,9646455,1435288,206124,30213,226677
40,2011,2867334,288363,70574,341891,218365
41,2011,3425985,76091,151479,67949,146140
42,2011,10657463,1450548,375337,41264,219383
44,2011,905141,77050,33267,9449,27113
45,2011,3195756,1311040,64841,25096,76321
46,2011,712537,11907,8620,74007,17100
47,2011,5083220,1082137,99441,26844,106747
48,2011,20736014,3143280,1060206,256462,461515
49,2011,2589686,35184,61208,41658,87588
50,2011,598052,6852,8512,2354,10680
51,2011,5783300,1595511,471851,42563,216963
53,2011,5584766,262966,514257,126346,333777
54,2011,1745516,64779,13362,4076,27249
55,2011,5043288,371303,137722,61436,95036
56,2011,531473,5747,4928,14754,10729
1,2012,3373845,1275025,60100,32976,75538
2,2012,493144,27690,42181,108459,59607
4,2012,5521130,299237,204987,347897,182985
5,2012,2360436,458809,41491,27503,61061
6,2012,28060801,2509788,5306570,630680,1554941
8,2012,4575798,226490,155940,81185,152296
9,2012,2942220,402712,152997,17667,78766
10,2012,653711,202362,32417,5942,22449
11,2012,273130,317219,24255,3491,16945
12,2012,15127505,3231886,514669,94561,386636
13,2012,6223038,3094907,356703,50031,194321
15,2012,365792,29945,530179,5853,460997
16,2012,1497427,12142,21604,27064,37353
17,2012,10023949,1897658,645605,74095,232456
18,2012,5656444,616807,118872,25306,120203
19,2012,2849622,97871,62136,14589,51717
20,2012,2517713,178798,75617,33782,80056
21,2012,3884914,354247,56054,12307,75943
22,2012,2931567,1490823,78247,34373,69734
23,2012,1265803,18162,14707,8920,21000
24,2012,3577122,1772824,355082,32096,154695
25,2012,5553190,534200,394126,31036,143277
26,2012,7921185,1413974,262633,69706,217283
27,2012,4648477,301350,238029,70397,122362
28,2012,1791923,1113850,28437,17230,34697
29,2012,5050916,706533,108041,31894,127897
30,2012,901004,5856,7330,65737,25236
31,2012,1666404,89291,37439,25083,37270
32,2012,2123631,245267,217667,44442,124238
33,2012,1247016,18560,31455,3635,20631
34,2012,6541488,1301360,800282,51280,181590
35,2012,1733467,51084,33406,214530,52107
36,2012,13939067,3430496,1583477,186960,467140
37,2012,7006930,2144335,242804,151533,202579
38,2012,630581,11168,8215,38886,12855
39,2012,9630462,1442944,214088,30591,232816
40,2012,2882993,291536,73995,345854,222681
41,2012,3444746,77644,157093,69111,150090
42,2012,10645701,1465031,389612,42413,227286
44,2012,902757,77997,34447,9775,27661
45,2012,3229072,1320562,67905,25278,79804
46,2012,717845,14460,9494,75036,17669
47,2012,5114322,1097692,104190,27570,111403
48,2012,21019663,3218016,1111170,261222,484351
49,2012,2620942,36808,63965,42605,90874
50,2012,596853,7078,8940,2323,10944
51,2012,5825551,1609629,489236,43356,225650
53,2012,5619188,271854,533313,129245,342725
54,2012,1744633,65448,13879,4231,28122
55,2012,5047410,374227,142553,62443,98255
56,2012,536648,8637,5300,15117,11191
1,2013,3375572,1284580,62414,33303,78127
2,2013,495457,28883,43508,108892,60519
4,2013,5571615,307965,212972,352328,190117
5,2013,2362736,461322,42955,28051,63701
6,2013,28232120,2522019,5446130,637447,1593677
8,2013,4636362,232272,162218,83040,158194
9,2013,2933798,408920,157344,18181,81098
10,2013,657390,204823,33744,6044,23239
11,2013,281069,321194,25466,3642,17740
12,2013,15287116,3281425,533474,96564,401732
13,2013,6237598,3133981,371392,50468,201320
15,2013,374528,32741,531263,6130,464325
16,2013,1510927,12996,22312,27625,38983
17,2013,10014213,1896459,666494,74604,238782
18,2013,5669334,624747,126139,25842,124651
19,2013,2855485,102212,65699,14958,53987
20,2013,2520828,180246,78374,34264,82089
21,2013,3890702,359215,58414,12533,78719
22,2013,2938846,1502309,80942,34849,72338
23,2013,1264301,18593,15202,9024,21582
24,2013,3587136,1791745,367938,32634,159284
25,2013,5569276,547230,410714,31743,149911
26,2013,7920165,1411382,273526,70313,222807
27,2013,4665260,311272,247893,71330,126305
28,2013,1789776,1119167,29663,17354,36246
29,2013,5056882,711218,112151,32280,132386
30,2013,908440,5883,7739,66526,26276
31,2013,1674792,90894,39277,25346,38660
32,2013,2139760,250918,226775,45227,128814
33,2013,1245763,19281,32610,3743,21219
34,2013,6536596,1311619,823671,52177,187439
35,2013,1730976,51855,34191,216412,53461
36,2013,13937380,3457611,1631199,188517,480973
37,2013,7058143,2171784,255383,153222,210385
38,2013,647691,13513,8989,39633,14031
39,2013,9623785,1453638,223411,31243,239928
40,2013,2901809,296283,77867,349033,228126
41,2013,3462326,78914,162594,69847,154387
42,2013,10622703,1476109,403963,43400,235121
44,2013,900269,79526,35457,9865,28237
45,2013,3260921,1331065,70823,25601,83519
46,2013,724922,15965,10375,75712,18536
47,2013,5137414,1107916,108247,28036,115656
48,2013,21279000,3287460,1165314,267456,506407
49,2013,2659004,38363,67222,43565,94633
50,2013,596452,7520,9326,2316,11241
51,2013,5857457,1625249,508610,44598,234431
53,2013,5655187,280146,554298,131054,353057
54,2013,1739423,66442,14435,4336,28959
55,2013,5054085,376427,147615,63363,101463
56,2013,540288,10221,5635,15354,11725
1,2014,3377605,1293200,64633,33772,80167
2,2014,492522,28820,44681,108956,61753
4,2014,5636322,318202,221347,357672,197941
5,2014,2364132,463360,44193,28689,65995
6,2014,28395830,2541367,5586184,645309,1633810
8,2014,4699302,238720,168460,84946,164438
9,2014,2919746,413814,161770,18443,82904
10,2014,662176,208081,35093,6188,24076
11,2014,287441,322827,26480,3697,18448
12,2014,15485874,3337159,553820,99203,417241
13,2014,6266166,3183784,387181,50988,209224
15,2014,378323,34864,532371,6356,467647
16,2014,1528744,13507,23180,28152,40881
17,2014,9984775,1892255,684715,75293,243542
18,2014,5678447,630754,132406,26354,128894
19,2014,2860661,106073,69062,15183,56147
20,2014,2521932,181546,81152,34741,84650
21,2014,3895463,363239,60889,12774,81092
22,2014,2945869,1510676,83181,35276,74674
23,2014,1263864,19149,15758,9132,22186
24,2014,3589555,1809294,380168,33413,163977
25,2014,5574178,558072,425305,32392,155461
26,2014,7915690,1410458,283968,71030,228731
27,2014,4677716,320423,256896,71960,130178
28,2014,1786028,1122938,30557,17520,37036
29,2014,5063452,714595,116213,32828,136501
30,2014,914674,6108,8256,67065,27476
31,2014,1682074,92289,41216,25690,40234
32,2014,2163454,258492,236304,46535,134314
33,2014,1247714,19686,33742,3849,21822
34,2014,6526416,1321105,844324,53223,193107
35,2014,1726182,52666,34848,217262,54614
36,2014,13906584,3479242,1677323,189764,493314
37,2014,7108057,2196390,267385,154735,217397
38,2014,659128,15555,9412,40277,15110
39,2014,9618404,1463594,233379,31585,247201
40,2014,2910952,299574,81394,350892,235239
41,2014,3488798,80962,169517,70842,160120
42,2014,10598587,1484746,417607,44142,242127
44,2014,898297,81149,36785,9965,28977
45,2014,3302736,1342308,74319,25961,87158
46,2014,731359,15971,10739,75879,19227
47,2014,5169234,1119119,112524,28845,119630
48,2014,21565643,3364416,1223865,274452,528582
49,2014,2689846,39655,70407,44551,98443
50,2014,595181,7709,9752,2356,11564
51,2014,5872210,1638835,526867,45725,242652
53,2014,5699754,286779,576147,132935,365915
54,2014,1734220,67073,14945,4441,29647
55,2014,5057797,378526,152512,64192,104537
56,2014,541596,9112,5821,15541,12083